driver_id,window_id,global_window_id,risk_target,risk_predicted
A,0,A_w0,0.9754981646860527,0.18815739255054553
A,1,A_w1,0.2493789332476628,0.27046387373807174
A,2,A_w2,0.28990159369139745,0.27762821785602787
A,3,A_w3,0.20585067025573936,0.24071031139181767
A,4,A_w4,0.21493542516842368,0.2635645606584665
A,5,A_w5,0.31701418109409574,0.26161320578573494
A,6,A_w6,0.30595914648521805,0.30187906170691164
A,7,A_w7,0.22151180232017328,0.20099997852846507
A,8,A_w8,0.27870206650721874,0.21863290463236879
A,9,A_w9,0.23319245634582558,0.21716202700648427
A,10,A_w10,0.2627819247000627,0.2035660153128937
A,11,A_w11,0.21279386030605824,0.19894229623387075
A,12,A_w12,0.2525929286191715,0.22748296730107603
A,13,A_w13,0.2677259529761827,0.2248666268470927
A,14,A_w14,0.19663795494382727,0.14832337010757862
A,15,A_w15,0.3108117916464422,0.21262214423086812
A,16,A_w16,0.31081687221071325,0.20269841375033648
A,17,A_w17,0.24411886683276174,0.1618370078702709
A,18,A_w18,0.1486496725933499,0.08794460864910979
A,19,A_w19,0.2151685066565437,0.1924249335626356
A,20,A_w20,0.2514715809985358,0.2158124049061531
A,21,A_w21,0.19884317768881649,0.1553724683005807
A,22,A_w22,0.15104125418192726,0.1483656521069209
A,23,A_w23,0.19939805348112444,0.18485511519007952
A,24,A_w24,0.14078427514788253,0.13111045191456233
A,25,A_w25,0.15393904910893016,0.12968593349430382
A,26,A_w26,0.17086850326693162,0.15292487532707214
A,27,A_w27,0.20271035547030058,0.19634415034883398
A,28,A_w28,0.23908199277937545,0.21862945324786767
A,29,A_w29,0.2578566531153951,0.23993063475176538
A,30,A_w30,0.26174701975954623,0.18597297295912904
A,31,A_w31,0.1713494460715508,0.142877713155843
A,32,A_w32,0.19633515719730232,0.16209449896115607
A,33,A_w33,0.24210915571362396,0.21016100789721354
A,34,A_w34,0.27732205671644106,0.2105800782500008
A,35,A_w35,0.23470501853902556,0.17949257200119545
A,36,A_w36,0.19404993656709854,0.1564898137922595
A,37,A_w37,0.21815876148438793,0.18153094401409212
A,38,A_w38,0.18748217645134868,0.18560461619939866
A,39,A_w39,0.18017916747070314,0.19030016161482916
A,40,A_w40,0.20491295877052676,0.15913435691582198
A,41,A_w41,0.15762990924017323,0.14980175464147594
A,42,A_w42,0.2807682636815839,0.2268878077963942
A,43,A_w43,0.2254911134985819,0.21043218816593307
A,44,A_w44,0.13949790272110416,0.16125030570869334
A,45,A_w45,0.12835066635014927,0.1184413346517028
A,46,A_w46,0.12514189514569493,0.12553815789663877
A,47,A_w47,0.153043908250239,0.1572294362763093
A,48,A_w48,0.1869313451182964,0.15877723447309477
A,49,A_w49,0.14292636016394328,0.1498758042718921
A,50,A_w50,0.1668584136811185,0.17357392795964655
A,51,A_w51,0.11852300534717024,0.1485329071520951
A,52,A_w52,0.14016385889011884,0.13062241559681334
A,53,A_w53,0.18717843451038102,0.1827663764061303
A,54,A_w54,0.15770794221436416,0.132223504773995
A,55,A_w55,0.1271538699980085,0.13594426228384693
A,56,A_w56,0.23640078313518548,0.18216200863461177
A,57,A_w57,0.16711659113094107,0.1681364044465446
A,58,A_w58,0.14180733560220266,0.140270495478408
A,59,A_w59,0.16839695758022366,0.1496617816068517
A,60,A_w60,0.19921211197434796,0.1501031422922507
A,61,A_w61,0.19343708736949636,0.15898237172392055
A,62,A_w62,0.25186567271731813,0.17742705872620657
A,63,A_w63,0.2528537856566366,0.23309492400537402
A,64,A_w64,0.26790356486391487,0.22447015410010418
A,65,A_w65,0.16272565471057507,0.1598143362748164
A,66,A_w66,0.27499786795365616,0.22519758578225862
