driver_id,window_id,global_window_id,n_rows,risk_score,iso_anom,iso_score,svm_anom,svm_score,lof_anom,lof_score,consensus_anom,unanimous_anom
A,0,A_w0,16,0.9867891589081322,1,0.6451882410542391,1,-1.0947091407042393,1,2.5858418495187743,1,1
A,1,A_w1,20,0.08331559951597284,1,0.4780642743712272,1,-41.82414344916766,1,1.355020420970713,1,1
A,2,A_w2,20,0.20041409413065017,1,0.45954077664118126,0,-65.55103108557367,0,1.0633438833238347,0,0
A,3,A_w3,20,0.17983154877195534,1,0.4588661925802078,0,-67.59782110503541,0,1.014995509052172,0,0
A,4,A_w4,20,0.21729949318095756,1,0.4627313156203153,0,-62.49460276560062,0,1.0858125951572637,0,0
A,5,A_w5,20,0.22102370327365686,0,0.45122330966037644,0,-68.52910758138479,0,1.0945887698510106,0,0
A,6,A_w6,20,0.19388958558421351,1,0.45624089188482125,0,-65.2142074399186,0,1.0414333963647178,0,0
A,7,A_w7,20,0.1374778509176909,0,0.4258000672831506,0,-76.08243514499847,0,1.016091562553425,0,0
A,8,A_w8,20,0.17459277049784772,0,0.4282007354698319,0,-76.73012658056174,0,1.0416058241222752,0,0
A,9,A_w9,20,0.14710635114511894,0,0.42415842241858126,0,-84.46684821860995,0,1.0690734107666706,0,0
A,10,A_w10,20,0.22432015720063445,1,0.4904090888229537,1,-51.56350639184928,1,1.1858253781685015,1,1
A,11,A_w11,20,0.2789931565540958,1,0.5177575145534619,1,-45.18618236646978,1,1.2448710809495473,1,1
A,12,A_w12,20,0.220157486109011,1,0.49551413421429663,1,-53.628614196459786,1,1.2127838086817246,1,1
A,13,A_w13,20,0.24701521523336215,1,0.4803227280483647,0,-60.0438344039643,1,1.199170656330068,1,0
A,14,A_w14,20,0.20014201720300712,0,0.4349485701987675,0,-81.17159649417653,0,1.0830227422756817,0,0
A,15,A_w15,20,0.11813611089109671,0,0.3885731527867186,0,-89.23772072608493,0,1.037537864395716,0,0
A,16,A_w16,20,0.17987752440806612,0,0.4278258677426571,0,-70.01886851584491,1,1.1755866325991835,0,0
A,17,A_w17,20,0.2405520689384555,1,0.4618219491455005,0,-69.63283601776652,0,1.1035585926615117,0,0
A,18,A_w18,20,0.15167294733368733,0,0.4338419054835308,0,-73.44877832450018,0,1.0469912547151206,0,0
A,19,A_w19,20,0.1918978337454146,0,0.44596895733691033,0,-76.00400954532896,0,1.080525807667229,0,0
A,20,A_w20,20,0.21288923888044706,1,0.4867920391327922,1,-43.19691183761266,1,1.244032769244081,1,1
A,21,A_w21,20,0.16842432699375592,0,0.39631239743000807,0,-88.58664583879082,0,1.1504296045232292,0,0
A,22,A_w22,20,0.20722173109553946,0,0.43995264452502963,0,-86.69657399241952,0,1.0803675299062947,0,0
A,23,A_w23,20,0.07503462451118083,0,0.41692598979852474,0,-66.5229088100517,0,1.1197199562628792,0,0
A,24,A_w24,20,0.20409823844007363,1,0.48017487290482674,0,-57.047194384868774,0,1.1536750792699866,0,0
A,25,A_w25,20,0.18251479986454527,0,0.426466437917191,0,-79.97655110771647,0,1.077177412146919,0,0
A,26,A_w26,20,0.19223300034488472,0,0.450137674539289,0,-80.48438157365497,0,1.078142296456759,0,0
A,27,A_w27,20,0.21828198393021536,0,0.42674148540381396,0,-75.82453851341616,0,1.0661466550191332,0,0
A,28,A_w28,20,0.1419074909354106,0,0.3921480806111015,0,-84.81237283582843,0,1.0516397969687437,0,0
A,29,A_w29,20,0.134882584166094,0,0.4249515867220231,0,-70.87634271891248,0,1.1145678582795993,0,0
A,30,A_w30,20,0.19533359988083526,1,0.4771892633194983,1,-47.83869844126524,1,1.2130799728175379,1,1
A,31,A_w31,20,0.22767529526980174,1,0.5471442382797053,1,-35.741095335946675,1,1.2167430077767423,1,1
A,32,A_w32,20,0.2063388055135262,1,0.5136550022515981,1,-49.12444626643164,0,1.1536865891583994,1,0
A,33,A_w33,20,0.21092033512537817,1,0.4888013288825091,1,-52.11073730598452,1,1.2204382181003341,1,1
